GeNeG_resource,Wikidata_resource,Matched_label
http://geneg.net/resource/Bad_Salzuflen,https://www.wikidata.org/wiki/Q4108,Bad_Salzuflen
http://geneg.net/resource/Campact,https://www.wikidata.org/wiki/Q1030068,Campact
http://geneg.net/resource/Miami,https://www.wikidata.org/wiki/Q8652,Miami
http://geneg.net/resource/Winfried_Kretschmann,https://www.wikidata.org/wiki/Q61051,Winfried_Kretschmann
http://geneg.net/resource/Otto,https://www.wikidata.org/wiki/Q44825,Otto
http://geneg.net/resource/Airbnb,https://www.wikidata.org/wiki/Q63327,Airbnb
http://geneg.net/resource/Brexit_Party,https://www.wikidata.org/wiki/Q61651140,Brexit_Party
http://geneg.net/resource/Instagram,https://www.wikidata.org/wiki/Q209330,Instagram
http://geneg.net/resource/South_Bend,https://www.wikidata.org/wiki/Q486877,South_Bend
http://geneg.net/resource/Lesbos,https://www.wikidata.org/wiki/Q128087,Lesbos
http://geneg.net/resource/Jan_Marsalek,https://www.wikidata.org/wiki/Q96971766,Jan_Marsalek
http://geneg.net/resource/Europäische_Union,https://www.wikidata.org/wiki/Q458,Europäische_Union
http://geneg.net/resource/Emmanuel_Macron,https://www.wikidata.org/wiki/Q3052772,Emmanuel_Macron
http://geneg.net/resource/Rotfuchs,https://www.wikidata.org/wiki/Q8332,Rotfuchs
http://geneg.net/resource/Sternhai,https://www.wikidata.org/wiki/Q52296660,Sternhai
http://geneg.net/resource/Suhl,https://www.wikidata.org/wiki/Q14891,Suhl
http://geneg.net/resource/Abdullah_Öcalan,https://www.wikidata.org/wiki/Q191530,Abdullah_Öcalan
http://geneg.net/resource/Haifa,https://www.wikidata.org/wiki/Q41621,Haifa
http://geneg.net/resource/Scharia,https://www.wikidata.org/wiki/Q482752,Scharia
http://geneg.net/resource/Europawahl,https://www.wikidata.org/wiki/Q1128324,Europawahl
http://geneg.net/resource/Ocean_Viking,https://www.wikidata.org/wiki/Q65710948,Ocean_Viking
http://geneg.net/resource/Polen,https://www.wikidata.org/wiki/Q36,Polen
http://geneg.net/resource/Sea-Watch,https://www.wikidata.org/wiki/Q20850693,Sea-Watch
http://geneg.net/resource/London,https://www.wikidata.org/wiki/Q84,London
http://geneg.net/resource/Haaretz,https://www.wikidata.org/wiki/Q216393,Haaretz
