GeNeG_resource,other_GeNeG_resource_w_alias_len,Matching node,Matched_label
http://geneg.net/resource/Wirsindmehr-Konzert,"[('http://geneg.net/resource/Wirsindmehr-Konzerte', 1)]",http://geneg.net/resource/Wirsindmehr-Konzerte,Wirsindmehr-Konzerte
http://geneg.net/resource/Cdu-Bundestagsabgeordneten,"[('http://geneg.net/resource/Cdu-Bundestagsabgeordnete', 1)]",http://geneg.net/resource/Cdu-Bundestagsabgeordnete,Cdu-Bundestagsabgeordnete
http://geneg.net/resource/Us-Whistleblower,"[('http://geneg.net/resource/Us-Whistleblowers', 1)]",http://geneg.net/resource/Us-Whistleblowers,Us-Whistleblowers
http://geneg.net/resource/Antifa-Recherche,"[('http://geneg.net/resource/Antifa-Recherchen', 1)]",http://geneg.net/resource/Antifa-Recherchen,Antifa-Recherchen
http://geneg.net/resource/Katrin_Göring-Eckhardt,"[('http://geneg.net/resource/Katrin_Göring_Eckhardt', 1)]",http://geneg.net/resource/Katrin_Göring_Eckhardt,Katrin_Göring_Eckhardt
http://geneg.net/resource/Linken-Fraktionschefin,"[('http://geneg.net/resource/Linke-Fraktionschefin', 1)]",http://geneg.net/resource/Linke-Fraktionschefin,Linke-Fraktionschefin
http://geneg.net/resource/Dax-Konzernen,"[('http://geneg.net/resource/Dax-Konzerne', 1)]",http://geneg.net/resource/Dax-Konzerne,Dax-Konzerne
http://geneg.net/resource/Soros-Netzwerk,"[('http://geneg.net/resource/Soros-Netzwerks', 1)]",http://geneg.net/resource/Soros-Netzwerks,Soros-Netzwerks
http://geneg.net/resource/Zeit-Redakteure,"[('http://geneg.net/resource/Zeit-Redakteur', 2)]",http://geneg.net/resource/Zeit-Redakteur,Zeit-Redakteur
http://geneg.net/resource/Csu-Ministern,"[('http://geneg.net/resource/Csu-Minister', 1)]",http://geneg.net/resource/Csu-Minister,Csu-Minister
http://geneg.net/resource/Deutschen_Anwaltverein,"[('http://geneg.net/resource/Deutsche_Anwaltverein', 1)]",http://geneg.net/resource/Deutsche_Anwaltverein,Deutsche_Anwaltverein
http://geneg.net/resource/Eu-Grünen-Politiker,"[('http://geneg.net/resource/Grünen-Eu-Politiker', 1)]",http://geneg.net/resource/Grünen-Eu-Politiker,Grünen-Eu-Politiker
http://geneg.net/resource/Ulli_Gellermann,"[('http://geneg.net/resource/Uli_Gellermann', 1)]",http://geneg.net/resource/Uli_Gellermann,Uli_Gellermann
http://geneg.net/resource/Cost_of_War_Project,"[('http://geneg.net/resource/Costs_of_War_Project', 3)]",http://geneg.net/resource/Costs_of_War_Project,Costs_of_War_Project
http://geneg.net/resource/Spiegel-Lesern,"[('http://geneg.net/resource/Spiegel-Leser', 1)]",http://geneg.net/resource/Spiegel-Leser,Spiegel-Leser
http://geneg.net/resource/Spiegel-Artikels,"[('http://geneg.net/resource/Spiegel-Artikel', 1)]",http://geneg.net/resource/Spiegel-Artikel,Spiegel-Artikel
